Time (UTCG),Lat (deg),Lon (deg),Alt (km),vx (km/sec),vy (km/sec),vz (km/sec),vx (km/sec).1,vy (km/sec).1,vz (km/sec).1,B_Tesla,Bx_Tesla,By_Tesla,Bz_Tesla
1 Jan 2011 00:01:08.000,-81.978,101.28299999999999,3019.103349,-1.005881,-5.741813,-0.71405,5.863715,-0.037783,-0.720508,1.780386503156775e-05,-2.1383071638914973e-06,-1.7780186832374084e-06,1.758533201555177e-05
1 Jan 2011 00:01:09.000,-82.01100000000001,101.375,3019.05163,-1.0065959999999998,-5.742279,-0.7095670000000001,5.864307,-0.037548000000000005,-0.716026,1.7803170484642414e-05,-2.1335621243906055e-06,-1.7861890841782108e-06,1.7584377171858297e-05
1 Jan 2011 00:01:10.000,-82.044,101.469,3018.99909,-1.00731,-5.742743,-0.705083,5.864896,-0.037313,-0.711543,1.780249352898962e-05,-2.1287075757566263e-06,-1.794425961415008e-06,1.7583441511138638e-05
1 Jan 2011 00:01:11.000,-82.07799999999999,101.56299999999999,3018.945728,-1.008023,-5.743204,-0.7006,5.865483,-0.037079,-0.70706,1.780172958205503e-05,-2.1238473948109977e-06,-1.8027987186974778e-06,1.758239929975515e-05
1 Jan 2011 00:01:12.000,-82.111,101.65700000000001,3018.891545,-1.008737,-5.7436620000000005,-0.6961149999999999,5.866067,-0.036844,-0.702577,1.7801025706988826e-05,-2.118982059983785e-06,-1.8110205298370824e-06,1.7581428721547422e-05
1 Jan 2011 00:01:13.000,-82.14399999999999,101.75299999999999,3018.836541,-1.00945,-5.744117,-0.691631,5.8666480000000005,-0.036610000000000004,-0.6980930000000001,1.780033861635182e-05,-2.1140066670855712e-06,-1.8193079651054961e-06,1.75804763643198e-05
1 Jan 2011 00:01:14.000,-82.177,101.84899999999999,3018.780715,-1.010162,-5.744569,-0.687146,5.8672260000000005,-0.036375,-0.693608,1.7799637926790104e-05,-2.1090256907614075e-06,-1.82758750793071e-06,1.7579506388445288e-05
1 Jan 2011 00:01:15.000,-82.211,101.947,3018.7240690000003,-1.010874,-5.745019,-0.68266,5.867801,-0.03614,-0.6891229999999999,1.7798878497280995e-05,-2.1039339093920373e-06,-1.836075265438769e-06,1.7578463115003144e-05
1 Jan 2011 00:01:16.000,-82.244,102.045,3018.6666,-1.011586,-5.745465,-0.6781739999999999,5.868374,-0.035905,-0.684638,1.7798179741092728e-05,-2.0988366183682046e-06,-1.8444114478606556e-06,1.7577492237422292e-05
1 Jan 2011 00:01:17.000,-82.277,102.14399999999999,3018.608311,-1.012297,-5.745908999999999,-0.6736880000000001,5.868943,-0.035671,-0.6801520000000001,1.7797481780549994e-05,-2.093680956669019e-06,-1.8527755956064876e-06,1.757652071295726e-05
1 Jan 2011 00:01:18.000,-82.31,102.244,3018.5492,-1.013008,-5.74635,-0.669201,5.86951,-0.035436,-0.675666,1.7796784390463268e-05,-2.0884667590469928e-06,-1.8611674338448406e-06,1.757554827082752e-05
1 Jan 2011 00:01:19.000,-82.34299999999999,102.345,3018.489268,-1.0137180000000001,-5.746788,-0.664714,5.870074,-0.035200999999999996,-0.67118,1.779608732901481e-05,-2.0831938563825006e-06,-1.8695866818086718e-06,1.7574574624094186e-05
1 Jan 2011 00:01:20.000,-82.376,102.447,3018.428515,-1.014428,-5.747224,-0.660227,5.870635,-0.034966000000000004,-0.666693,1.7795390360426507e-05,-2.077862079742984e-06,-1.8780330557883425e-06,1.7573599491819914e-05
1 Jan 2011 00:01:21.000,-82.40899999999999,102.54899999999999,3018.36694,-1.0151379999999999,-5.747656,-0.6557390000000001,5.871194,-0.034731,-0.6622060000000001,1.7794678926187645e-05,-2.072524111287043e-06,-1.8864703655751077e-06,1.7572605710424604e-05
